mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_estimator__max_depth,param_estimator__min_samples_leaf,param_learning_rate,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
9.537030696868896,0.0994921672745411,0.4271212100982666,0.023792378157331883,SAMME.R,3,1,0.1,100,"{'algorithm': 'SAMME.R', 'estimator__max_depth': 3, 'estimator__min_samples_leaf': 1, 'learning_rate': 0.1, 'n_estimators': 100}",0.9222035437473226,0.9268315132370433,0.9279584330467672,0.9202287399675378,0.9293189465611218,0.9253082353119584,0.003489129148091625,1
8.415147829055787,0.08690574584753996,0.3972517967224121,0.0222802344564503,SAMME.R,3,2,0.1,100,"{'algorithm': 'SAMME.R', 'estimator__max_depth': 3, 'estimator__min_samples_leaf': 2, 'learning_rate': 0.1, 'n_estimators': 100}",0.9200987081171413,0.9271574265813897,0.9281835896562678,0.9200336726239994,0.9308464896939135,0.9252639773345424,0.004411571689442383,2
8.526296138763428,0.06565793219011777,0.3949426174163818,0.013807267469801127,SAMME.R,3,5,0.1,100,"{'algorithm': 'SAMME.R', 'estimator__max_depth': 3, 'estimator__min_samples_leaf': 5, 'learning_rate': 0.1, 'n_estimators': 100}",0.9201348066555439,0.9290620949607126,0.9267480239387466,0.9188543785523712,0.9313804032030023,0.9252359414620752,0.004928005186320799,3
20.11780753135681,0.11088676064261137,1.095527458190918,0.19627929809440378,SAMME.R,2,1,0.1,250,"{'algorithm': 'SAMME.R', 'estimator__max_depth': 2, 'estimator__min_samples_leaf': 1, 'learning_rate': 0.1, 'n_estimators': 250}",0.9240242103145329,0.9266867769171916,0.9269552295657127,0.9176952579658767,0.9303185598456696,0.9251360069217966,0.004223130358784708,4
16.933284282684326,0.12585608098198692,1.005985689163208,0.013038141732232585,SAMME.R,2,5,0.1,250,"{'algorithm': 'SAMME.R', 'estimator__max_depth': 2, 'estimator__min_samples_leaf': 5, 'learning_rate': 0.1, 'n_estimators': 250}",0.9225373269152071,0.9257851688727265,0.925787902815774,0.9189914898665849,0.9314426332757877,0.924908904349216,0.004119957892747144,5
15.916284656524658,0.2512059952673955,1.1174634933471679,0.11831573605293658,SAMME.R,2,1,0.1,200,"{'algorithm': 'SAMME.R', 'estimator__max_depth': 2, 'estimator__min_samples_leaf': 1, 'learning_rate': 0.1, 'n_estimators': 200}",0.9232851312344399,0.9255441127560944,0.9279604845876284,0.9178214277288316,0.9297890913417795,0.9248800495297548,0.004156841534717391,6
12.617447471618652,0.09699142038456834,0.565015459060669,0.031241386672887714,SAMME.R,3,5,0.1,150,"{'algorithm': 'SAMME.R', 'estimator__max_depth': 3, 'estimator__min_samples_leaf': 5, 'learning_rate': 0.1, 'n_estimators': 150}",0.9211164816003524,0.9251229061136896,0.9275414573667584,0.9206886270438903,0.9286581794421245,0.924625530313363,0.0032503815925715683,7
13.465801620483399,0.09583040670819797,0.8073551177978515,0.02161786923494655,SAMME.R,2,5,0.1,200,"{'algorithm': 'SAMME.R', 'estimator__max_depth': 2, 'estimator__min_samples_leaf': 5, 'learning_rate': 0.1, 'n_estimators': 200}",0.921105703363768,0.9249123027924872,0.9262968559110534,0.919340764698179,0.9300424566381194,0.9243396166807214,0.003798100968957802,8
16.700728321075438,0.1573326736997902,0.996755313873291,0.05071751589895428,SAMME.R,2,2,0.1,250,"{'algorithm': 'SAMME.R', 'estimator__max_depth': 2, 'estimator__min_samples_leaf': 2, 'learning_rate': 0.1, 'n_estimators': 250}",0.921951367227865,0.9261916623667776,0.9263201067074787,0.9185709239900692,0.9286339028752687,0.9243335926334918,0.003599296521614514,9
13.238234376907348,0.1846986562331072,0.8619123935699463,0.020197495174346814,SAMME.R,2,2,0.1,200,"{'algorithm': 'SAMME.R', 'estimator__max_depth': 2, 'estimator__min_samples_leaf': 2, 'learning_rate': 0.1, 'n_estimators': 200}",0.921668908996098,0.9264145836726482,0.9254312766294278,0.9188620718306003,0.9292103858572243,0.9243174453971997,0.0036429471894249385,10
